DATE,CPMNACSCAB1GQFR
01/01/1999,344117
01/04/1999,347464
01/07/1999,351727
01/10/1999,356592
01/01/2000,362660
01/04/2000,367789
01/07/2000,372166
01/10/2000,376980
01/01/2001,380845
01/04/2001,383539
01/07/2001,386507
01/10/2001,388555
01/01/2002,392514
01/04/2002,395640
01/07/2002,399012
01/10/2002,401288
01/01/2003,403234
01/04/2003,404603
01/07/2003,409627
01/10/2003,414298
01/01/2004,419847
01/04/2004,423647
01/07/2004,426215
01/10/2004,431768
01/01/2005,435001
01/04/2005,438435
01/07/2005,441972
01/10/2005,448518
01/01/2006,453785
01/04/2006,460637
01/07/2006,463892
01/10/2006,471205
01/01/2007,477008
01/04/2007,483601
01/07/2007,488760
01/10/2007,493210
01/01/2008,499044
01/04/2008,499558
01/07/2008,498729
01/10/2008,493593
01/01/2009,484599
01/04/2009,482344
01/07/2009,482260
01/10/2009,487648
01/01/2010,491370
01/04/2010,495993
01/07/2010,501089
01/10/2010,505200
01/01/2011,511232
01/04/2011,512641
01/07/2011,515339
01/10/2011,518136
01/01/2012,520378
01/04/2012,521185
01/07/2012,523736
01/10/2012,523834
01/01/2013,525342
01/04/2013,529783
01/07/2013,530170
01/10/2013,532841
01/01/2014,535238
01/04/2014,535848
01/07/2014,538574
01/10/2014,541699
01/01/2015,546839
01/04/2015,547600
01/07/2015,551067
01/10/2015,552787
01/01/2016,557860
01/04/2016,555959
01/07/2016,557486
01/10/2016,561128
01/01/2017,567132
01/04/2017,572562
01/07/2017,576959
01/10/2017,581934
01/01/2018,585024
01/04/2018,587880
01/07/2018,592206
01/10/2018,597300
01/01/2019,602638
01/04/2019,605984
01/07/2019,608584
01/10/2019,609740
01/01/2020,580233
01/04/2020,515406
01/07/2020,593490
01/10/2020,588053
